Bōlānus, -ī, m - Боланий
Catō. Catōnis, m - Катон
Cilnius, -ī, m - Килний
Coriolānus, -ī, m - Королиан
Cūriātius, -ī, m - Куриятий
Fabius, -ī, m - Фабий
Gellius, -ī, m - Гелий
Herennius, -ī, m - Херений
Horātius, -ī, m - Хораций
Lucrētius, -ī, m - Лукреций
Maccius, -ī, m - Макций
Metellus, -ī, m - Метел
Mūcius, -ī, m - Муций
Papīrius, -ī, m - Папирий
Plīnius, -ī, m - Плиний
Pompëius, -ī, m - Помпей
Scipiō, -ōnis, m - Сципион
Septimius, -ī, m - Септимий
Servīlius, -ī, m - Сержилий
Sosius, -ī, m - Сосий
Subrius, -ī, m - Субрий
Sulpicius, -ī, m - Сулпиций
Stertinius, -ī, m - Стертиний
Ulpius, -ī, m - Улпий
Trāius, -ī, m - Трай
Varius, -ī, m - Варий
Quīntilius, -ī, m - Квинтилий
Lollius, -ī, m - Лолий
Petrōnius, -ī, m - Петроний
Pācuvius, -ī, m - Пакувий
Valerius, -ī, m - Валерий
Pūblicius, -ī, m - Публиций
Saevius, -ī, m - Севий
Tarpēius, -ī, m - Тарпей
Iūnius, -ī, m - Юний
Rūfius, -ī, m - Руфий
Postumius, -ī, m - Постумий
Quīnctius, -ī, m - Квинкций
Rutilius, -ī, m - Рутилий
Aristius, -ī, m - Аристий
Caesennius, -ī, m - Цезений
Turpilius, -ī, m - Турпилий
Turpiliānus, -ī, m - Турпилиан
Gāvius, -ī, m - Гавий
Flāvius, -ī, m - Флавий
Mānlius, -ī, m - Манлий
Furius, -ī, m - Фурий
